time,date,currency,impact,event,actual,forecast,previous
19:00,2025-06-01,USD,medium,"&nbsp;",&nbsp;,51.7,
19:50,2025-06-01,USD,medium,"&nbsp;",&nbsp;,3.8%,
20:00,2025-06-01,USD,medium,"&nbsp;",&nbsp;,&nbsp;,
20:30,2025-06-01,USD,medium,"&nbsp;",&nbsp;,&nbsp;,
20:30,2025-06-01,USD,medium,"&nbsp;",&nbsp;,49.0,
21:30,2025-06-01,USD,medium,"&nbsp;",&nbsp;,&nbsp;,
